Complejo,Modo,Energía de Unión (kcal/mol)
NDM-1 + Imipenem,1,-7.108
NDM-1 + Imipenem,2,-6.994
NDM-1 + Imipenem,3,-6.877
NDM-1 + Imipenem,4,-6.839
NDM-1 + Imipenem,5,-6.839
NDM-1 + Imipenem,6,-6.736
NDM-1 + Imipenem,7,-6.733
NDM-1 + Imipenem,8,-6.696
NDM-1 + Imipenem,9,-6.63
NDM-1 + Meropenem,1,-7.745
NDM-1 + Meropenem,2,-7.561
NDM-1 + Meropenem,3,-7.452
NDM-1 + Meropenem,4,-7.411
NDM-1 + Meropenem,5,-7.142
NDM-1 + Meropenem,6,-6.957
NDM-1 + Meropenem,7,-6.926
NDM-1 + Meropenem,8,-6.855
NDM-1 + Meropenem,9,-6.848
OXA-48 + Imipenem,1,-6.72
OXA-48 + Imipenem,2,-6.184
OXA-48 + Imipenem,3,-6.073
OXA-48 + Imipenem,4,-6.056
OXA-48 + Imipenem,5,-5.814
OXA-48 + Imipenem,6,-5.777
OXA-48 + Imipenem,7,-5.748
OXA-48 + Imipenem,8,-5.746
OXA-48 + Imipenem,9,-5.572
OXA-48 + Meropenem,1,-7.402
OXA-48 + Meropenem,2,-7.281
OXA-48 + Meropenem,3,-6.559
OXA-48 + Meropenem,4,-6.359
OXA-48 + Meropenem,5,-6.337
OXA-48 + Meropenem,6,-6.3
OXA-48 + Meropenem,7,-6.25
OXA-48 + Meropenem,8,-5.959
OXA-48 + Meropenem,9,-5.859
